id	name	rarity	description	requirements	effects
418	A warlock has been caught red-handed. Hi	-2	A warlock has been caught red-handed. His virgin followers are now kept in your dungeon.	pop 50	4d6gems Slaves
419	Nature gems have been distilled from the	-1	Nature gems have been distilled from the droppings of a magical beast	magic 1|land 1|growth 0	1d6gems Nature
420	The local lawgiver has caught a traitor.	-1	The local lawgiver has caught a traitor. After summary trial and execution his belongings have been confiscated.	chaos 2	unrest 20|gold 150|magicitem 1
421	A local wizard was found consorting with	-2	A local wizard was found consorting with demons and -far worse- with rival nations. The foreign agent has been put under the axe and his lab plundered.	chaos 1	1d6gems 53
422	Crystallized urine from a magical beast 	-1	Crystallized urine from a magical beast has been found in the melting snow.	land 1|season 0|cold 0	1d6gems Nature
423	Crystallized urine from a magical beast 	-1	Crystallized urine from a magical beast has been found in the melting snow.	land 1|season 0|cold 0|luck 2	3d6gems Nature
424	One of your lords is fond of hunting. Wh	-2	One of your lords is fond of hunting. While on such an endeavor he stumbled upon the lair of a hideous troll. After having swiftly slain the creature, the brave nobleman ventured further into its lair. There he found, among rotting refuse, a small purse with a few smallish coins. He donated these to the benefit of the nation, but kept all the nice magic stuff for himself.	land 1|magic 0|forest 1|unluck 1	gold 8
425	A stranger was washed ashore from the se	-2	A stranger was washed ashore from the sea. He remembers nothing of his past, but seems to retain his formidable skills and has joined your cause.	coast 1|noseason 3	nation -2|1com Stalker
426	Carnivorous apes are causing unrest in t	1	Carnivorous apes are causing unrest in the region.	national 25|maxturn 30|land 1	unrest 20
427	A little known sect of carnivorous apes 	1	A little known sect of carnivorous apes are sacrificing humans in the woods.	national 25|turn 15|maxturn 35|land 1	kill 1|unrest 5|incdom 1
428	Humans have disappeared at night, never 	1	Humans have disappeared at night, never to return.	national 25|turn 1|maxturn 50|land 1	kill 1|unrest 5
429	A malevolent conjurer, jealous of your p	2	A malevolent conjurer, jealous of your power, sent a demon to slay one of your commanders.	national 53|turn 30|commander 1|magic 0	assassin Raksharaja
430	A mob of monkeys has beaten the local hu	1	A mob of monkeys has beaten the local human sheriff to death.	national 25|turn 25|land 1|pop 50	unrest 20
431	Humans have been killed or driven from t	1	Humans have been killed or driven from the province in large numbers. 	national 25|turn 25|land 1|pop 50	kill 10
432	A demon summoned by local blood-cultists	2	A demon summoned by local blood-cultists has run amok.	national 25|turn 25|land 1	nation 0|1com Dakini
433	A foreign tribe of apes have attacked th	2	A foreign tribe of apes have attacked the province. They seem to be capturing commoners and transporting them into the jungle for unknown -probably hideous- ends.	national 25|turn 25|maxturn 50|land 1	nation 0|2com Bandar Warrior|4d6units Kala-Mukha Warrior|1com Kala-Mukha|kill 5
434	Volunteers have collected virgin humans 	2	Volunteers have collected virgin humans for sacrifice.	national 25|turn 35|land 1|pop 100	2d6gems Slaves
435	Followers of the local blood cult have s	-1	Followers of the local blood cult have summoned forest demons into your service.	national 25|turn 30|land 1|forest 1	nation -2|1d6units Rakshasa Warrior
436	People of the province are revolting aga	2	People of the province are revolting against the local practice of blood magic and have liberated some blood slaves.	national 25|turn 35|gem 7|pop 100	gemloss Slaves
437	A gang of vengeful rakshas has sought ou	2	A gang of vengeful rakshas has sought out one of your faithful devatas. Trying to slay him, the have attacked the province in force.	national 25|turn 30|commander 1336|land 1	nation 0|2com Raksharaja|4d6units Rakshasa Warrior|1d6units Palankasha
438	A wise old mage was rumored to have disc	-2	A wise old mage was rumored to have discovered the secret of transmuting lead into gold. Alas, despite attempts of persuasion, he arrogantly refused to share his discoveries and was at last decapitated. His executors were surprised to find his loosened head still muttering. It has now been preserved and transported to the laboratory. [Skull Mentor]	unique 1|magic 0|chaos 0	magicitem 9
439	An ancient guru has transcended. His sku	-2	An ancient guru has transcended. His skull continues to provide wisdom and guidance and has been added to your collection of magic wonders. [Skull Mentor]	magic 0|national 25	magicitem 9
440	A mob of monkeys has beaten the local hu	1	A mob of monkeys has beaten the local human sheriff to death.	national 53|chaos 1|land 1|pop 50	unrest 20
441	A little known sect of dark apes are sac	1	A little known sect of dark apes are sacrificing humans in the woods. It may be just a rumor.	national 53|land 1	kill 1|unrest 5|incdom 1
442	An ancient guru has transcended. His sku	-2	An ancient guru has transcended. His skull continues to provide wisdom and guidance and has been added to your collection of magic wonders. [Skull Mentor]	magic 0|national 53	magicitem 9
443	The carcass of a dead shambler washed as	-2	The carcass of a dead shambler washed ashore during one of the worst storms in memory. The creatures skin was fashioned into a piece of armor. [Shambler Skin Armor]	coast 1|noseason 3	magicitem 9|kill 1
444	An industrious clan has migrated into th	-2	An industrious clan has migrated into the area. They mine for gold but are also making people angry with their bad ale-drinking habits and boisterous demeanor.	mountain 1	landgold 20|incpop 20|unrest 10
445	Magic is fading.	2	Magic is fading.	pop0ok 1|lab 1|unmagic 2	gemloss 53|incscale1 Drain
446	Magic is suffusing this realm. The very 	-2	Magic is suffusing this realm. The very air is crystallizing into gems of magic.	pop0ok 1|magic 3|land 1	3d6gems Air
447	Magic is suffusing this realm. The very 	-2	Magic is suffusing this realm. The very sea is crystallizing into gems of magic.	pop0ok 1|magic 3|land 1	3d6gems Water
448	A malevolent conjurer, jealous of your p	2	A malevolent conjurer, jealous of your power, has sent a demon to slay one of your commanders.	pop0ok 1|turn 30|commander 1|magic 0	assassin Serpent Fiend
449	An alien being has been sighted, skulkin	2	An alien being has been sighted, skulking near sites of mystical power.	magic 1|notnation 88	unrest 10|stealthcom Star Child|decscale1 Drain
450	The wise ruler of the realm has invested	-1	The wise ruler of the realm has invested in roads and bridges.	order 3|land 1|pop 100	landgold 25|landprod 20
451	A law has been decreed against sodomy.	-2	A law has been decreed against sodomy.	chaos 2|pop 10	unrest 5|decscale2 Turmoil
452	The tax collector has indulged in glutto	2	The tax collector has indulged in gluttonous orgies at the expense of the treasury.  	chaos 2	taxboost -100
453	A charismatic preacher of foreign faith 	2	A charismatic preacher of foreign faith has turned many from the true God. Pogroms against the defectors have been initiated.	dominion 1|turn 10|pop 10	incdom -3|kill 2
454	Epidemic dysentery is spreading.	2	Epidemic dysentery is spreading.		incscale2 Sloth
455	A harsh law against vagrancy has been de	-1	A harsh law against vagrancy has been decreed.	order 1|pop 10	landprod 25|kill 1
456	The ruler of the province has been able 	-2	The ruler of the province has been able to enforce an existing law, giving the government monopoly on gambling.	order 2|pop 10	landgold 15|unrest 10
457	A successful traders guild has moved the	-2	A successful traders guild has moved their headquarters here.	luck 2|pop 150	landgold 15
458	A tribe of subterranean goblins have eme	-2	A tribe of subterranean goblins have emerged. They are wealthy and spendthrift with their silver, but cause trouble wherever they go.	chaos 1|pop 150|mountain 1|magic 0	landgold 15|unrest 10|incscale1 Turmoil
459	People have been investing in a pyramid 	2	People have been investing in a pyramid game, that has now deflated.	chaos 1|pop 150|unluck 1	taxboost -100|unrest 30
460	One of your researchers stumbled upon an	1	One of your researchers stumbled upon an ancient skin-bound tome and read a passage aloud. Unfortunately all those who happened to listen have been cursed for the rest of their miserable lives.	reseacher 1	curse 5
461	Some of your followers were sent to retr	-1	Some of your followers were sent to retrieve the rumored riches of an ancient tomb situated in the eastern parts of this realm. They returned, carrying a meager sum of gold, cursed by its undead wardens.	pop0ok 1|mintroops 10|unluck 1	curse 10|gold 34
462	Miasmatic fumes have risen from the swam	1	Miasmatic fumes have risen from the swamp, bringing pestilence to those living or traveling in the surrounding area.	swamp 1|unluck 1|turn 10	disease 10|kill 10
463	A failed experiment caused a fire in the	1	A failed experiment caused a fire in the lab. It was dowsed with the most quickly available fluid, a barrel of goats blood. Unfortunately, the malignant fumes thus created spread quite far from the building. Those exposed have suffered diverse unnatural effects.	pop0ok 1|lab 1|magic 1|land 1|reseacher 1	disease 5|curse 3|researchaff 4096|researchaff 0
464	Something has gone wrong in the arcane l	2	Something has gone wrong in the arcane laboratory	pop0ok 1|lab 1|reseacher 1|turn 15	researchaff 4096
465	Something has gone horribly wrong in the	2	Something has gone horribly wrong in the arcane laboratory	pop0ok 1|lab 1|unluck 1|reseacher 1|turn 15	researchaff 0|researchaff 4096
466	There was an accident in the arcane labo	2	There was an accident in the arcane laboratory.	pop0ok 1|lab 1|reseacher 1|turn 15	researchaff 0
467	One of your researchers stumbled upon fo	1	One of your researchers stumbled upon forbidden lore.	pop0ok 1|lab 1|reseacher 1|turn 15	researchaff 2
468	A mage happened to mistake one elixir fo	1	A mage happened to mistake one elixir for the other.	pop0ok 1|lab 1|reseacher 1|turn 5	researchaff 0
469	Something has gone quite wrong in the ar	1	Something has gone quite wrong in the arcane laboratory. Magical energies were released, shrinking one of your mages!	pop0ok 1|lab 1|reseacher 1|turn 15	researchaff 0
470	Something has gone quite wrong in the ar	1	Something has gone quite wrong in the arcane laboratory. A rift in the fabric of reality was briefly opened and one of your mages glimpsed the horror beyond!	lab 1|reseacher 1|turn 15	researchaff 0
471	Something has gone horribly wrong in the	2	Something has gone horribly wrong in the arcane laboratory.	lab 1|unluck 2|reseacher 1|turn 15	researchaff 0|researchaff 0
472	Something went wrong when one of your ma	2	Something went wrong when one of your mages attempted a ritual spell. A rift in the fabric of reality was created and a malevolent being from beyond slipped through.	pop0ok 1|reseacher 1|unluck 2|turn 15	assassin Thing From The Void
473	Something went horribly wrong when one o	2	Something went horribly wrong when one of your mages attempted a newly researched conjuring spell.	pop0ok 1|reseacher 1|unluck 2|turn 15|land 1|noera 0	assassin Foul Beast
474	One of your researchers discovered forbi	2	One of your researchers discovered forbidden knowledge and has attracted unwanted attention.	reseacher 1|turn 15	assassin Lesser Horror
475	Bad omens.	1	Bad omens.	pop0ok 1|unluck 1	incscale1 Misfortune
476	Good omens.	-1	Good omens.	pop0ok 1|luck 0	decscale1 Misfortune
477	People are taking some extra time off fr	1	People are taking some extra time off from their chores.	lazy 1|pop 20	incscale1 Sloth
478	People here are realizing they don't lik	2	People here are realizing they don't like to work.	lazy 1|pop 20	incscale2 Sloth
479	This is truly a land of plenty. Since pe	2	This is truly a land of plenty. Since people no longer have to work for food, they are becoming less industrious. Some just hang around, waiting for something to happen.	lazy 1|pop 30|heat 1|growth 1	incscale2 Sloth|landprod -10
480	People have not bothered to hoard food f	1	People have not bothered to hoard food for winter. Dire consequences now follow.	lazy 3|season 3	kill 10
481	Fields have not been tended properly.	1	Fields have not been tended properly.	lazy 2|season 1|land 1	incscale1 Death
482	Taxes have been lowered in an attempt to	2	Taxes have been lowered in an attempt to appease the unruly commoners.	minunrest 20|lazy 1	landgold -8|unrest -6
483	One of your mages have been toiling dili	-1	One of your mages have been toiling diligently outside working hours, fashioning a wondrous gift.	reseacher 1|prod 2	magicitem 1
484	People are working hard, to the benefit 	-2	People are working hard, to the benefit of the realm. Taxes have been raised.	prod 2|maxunrest 0|pop 80	landprod 5|landgold 10
485	Taxes have been raised by the righteous 	-1	Taxes have been raised by the righteous governor of the realm. He wisely aims to improve defenses.	order 1|prod 1|pop 20	landgold 10|defence 5
486	The lawgivers of this land are effective	-2	The lawgivers of this land are effectively rooting out unlawful elements. A famous criminal leader has recently been tried and hanged.	order 3|pop 20	landgold 15|unrest -10
487	Tax collectors have been threatened and,	2	Tax collectors have been threatened and, in some cases, mysteriously disappeared.	chaos 3	landgold -10
488	Disease is spreading.	1	Disease is spreading.	death 1|pop 20|turn 10	kill 10|disease 1
489	Rivers have swollen, flooding parts of t	1	Rivers have swollen, flooding parts of the land.	freshwater 1|land 1|season 2|heat 0	kill 10
490	Famine has struck the land.	1	Famine has struck the land.	death 0|turn 10	kill 5|incscale1 Death
491	Severe famine has struck the land.	1	Severe famine has struck the land.	death 0|unluck 1|turn 10	kill 15|incscale1 Death
492	Rivers have swollen, flooding parts of t	1	Rivers have swollen, flooding parts of the land.	freshwater 1|land 1|season 2|unluck 1	kill 10
493	Disease is spreading.	1	Disease is spreading.	death 1|pop 20|unluck 1|turn 10	kill 10|disease 2
494	The sea is being polluted by the crowded	1	The sea is being polluted by the crowded settlements in this province.	pop 300|land 0	incscale1 Death|emigration 5
495	A new breed of mosquitoes are infesting 	1	A new breed of mosquitoes are infesting the swamps, spreading disease in the area.	swamp 1|heat 0	kill 1|disease 3
496	Some of your magic pearls turned out to 	2	Some of your magic pearls turned out to be fake!	pop0ok 1|gem 4|unluck 1	gemloss Astral
497	One of your dwarven smiths has been work	-2	One of your dwarven smiths has been working diligently to fashion a magic item [Star of Heroes].	monster Dwarven Smith|prod 1	magicitem 9
498	One of your smiths has been working dili	-2	One of your smiths has been working diligently to fashion a magic item [Faithful].	monster Master Smith|prod 1	magicitem 9
499	An old dwarf in your service has fashion	-2	An old dwarf in your service has fashioned a smith's hammer imbued with his power and skill.[Dwarven Hammer]	monster Dwarven Smith|prod 1	magicitem 9
500	An old dwarf in your service has forged 	-2	An old dwarf in your service has forged a hammer.[Hammer of the Mountains]	monster Dwarven Smith|prod 1	magicitem 9
501	The tax collector has been waylaid!	1	The tax collector has been waylaid!	chaos 2	taxboost -100|unrest 15
502	Meddling with dark arts, your necromance	1	Meddling with dark arts, your necromancer has attracted unwanted attention. Spirits from the nether realms now haunt this land in search for the mage. They attack indiscriminately.	pop0ok 1|turn 12|pathdeath 1	assassin Ghost
503	One of your mages has befriended some ma	-1	One of your mages has befriended some magic beings.	pathnature 1|magic 1|land 1	nation -2|1d6units Lamia
504	One of your mages has befriended some ma	-1	One of your mages has befriended some magic beings.	pathwater 1|magic 1|land 0	nation -2|1d6units Hippocampus
505	One of your mages is being harassed by a	-1	One of your mages is being harassed by a gang of imps. They are annoying but might be put to some use.	pop0ok 1|pathblood 1|magic 1|land 1	nation -2|1d6units Imp
506	One of your mages has befriended some ma	-1	One of your mages has befriended some magic beings.	pathearth 1|magic 1|land 1	nation -2|1d6units Gnome
507	One of your trolls has fetched his cousi	-1	One of your trolls has fetched his cousins.	pop0ok 1|land 1|monster Troll	nation -2|2d6units Troll
508	One of your trolls has fetched his cousi	-1	One of your trolls has fetched his cousins.	pop0ok 1|land 0|monster Sea Troll	nation -2|2d6units Sea Troll
509	Long live the King of Old! A King of the	2	Long live the King of Old! A King of the Mound and his host rises to claim what was once their domain.	death 1|unluck 1|turn 16|land 1	incdom 1|1com Mound King|addequip 2|6d6units Longdead|5d6units Longdead|2d6units Longdead Horseman
510	Long live the King of Old! A King of the	2	Long live the King of Old! A King of the Mound rises to claim what was once his.	pop0ok 1|death 1|unluck 0|turn 16|land 1	1com Mound King|addequip 2|4d6units Longdead|4d6units Longdead
511	Long live the King of Old! A King of the	-1	Long live the King of Old! A King of the Mound rises to join your cause.	death 1|national 34|turn 16|land 1|pop0ok 1	nation -2|1com Mound King|addequip 2|4d6units Longdead|3d6units Longdead Horseman
512	Long live the King of Old! A King of the	-2	Long live the King of Old! A King of the Mound rises to join your cause.	death 3|luck 1|turn 16|land 1|pop0ok 1	nation -2|1com Mound King|addequip 2|4d6units Longdead|3d6units Longdead Horseman
513	Dabbling in blood magic is fraught with 	2	Dabbling in blood magic is fraught with dangers. A horde of vicious imps have managed to escape the summoning circle!	pathblood 1|turn 20|lab 1|land 1	assassin Imp|assassin Imp|assassin Imp|assassin Imp
514	A mage in your service has struck a deal	-2	A mage in your service has struck a deal with infernal powers.	pop0ok 1|pathblood 1|land 1|chaos 1|turn 10	nation -2|1d6units Devil|kill 10
515	When traveling through the woods, one of	-1	When traveling through the woods, one of your mages liberated some faeries held captive by a hideous troll.	pathnature 1|forest 1|lab 0|fort 0	nation -2|2d6units Sprite
516	When investigating the swamp, one of you	-1	When investigating the swamp, one of your commanders rescued a traveling adventurer from quicksand.	pathnature 1|swamp 1|lab 0|fort 0	nation -2|1com -13|addequip 1
517	Something went horribly wrong when one o	2	Something went horribly wrong when one of your unfortunate mages attempted a spell gleaned from a forbidden tome. 	pop0ok 1|reseacher 1|unluck 2|turn 20	assassin Thing From Beyond
518	Something went horribly wrong when one o	2	Something went horribly wrong when one of your unfortunate mages attempted a spell gleaned from a forbidden tome. 	pop0ok 1|reseacher 1|unluck 2|turn 20	assassin Thing That Should Not Be
519	Something went horribly wrong when one o	2	Something went horribly wrong when one of your unfortunate mages attempted a spell gleaned from a forbidden tome. 	pop0ok 1|reseacher 1|unluck 2|turn 20	assassin Elder Thing
520	Something went horribly wrong when one o	2	Something went horribly wrong when one of your unfortunate mages attempted a spell gleaned from a forbidden tome. 	pop0ok 1|reseacher 1|unluck 2|turn 20	assassin Thing From The Void
521	Something went horribly wrong when one o	2	Something went horribly wrong when one of your unfortunate mages ignored the runes of warning on its front and attempted a spell gleaned from a forbidden tome. 	pop0ok 1|reseacher 1|unluck 2|turn 20	assassin Greater Otherness
522	Something went horribly wrong when one o	2	Something went horribly wrong when one of your unfortunate mages attempted a spell gleaned from a forbidden tome. 	pop0ok 1|reseacher 1|unluck 2|turn 20	assassin Otherness
523	Something went horribly wrong when one o	2	Something went horribly wrong when one of your unfortunate mages attempted a spell gleaned from a forbidden tome. 	reseacher 1|unluck 2|turn 20	assassin Lesser Otherness
524	Something went horribly wrong when one o	2	Something went horribly wrong when one of your unfortunate mages attempted a spell gleaned from a most forbidden tome. 	reseacher 1|unluck 2|turn 20	assassin Vile Thing
525	Something went horribly wrong when one o	2	Something went horribly wrong when one of your unfortunate mages attempted a spell gleaned from a forbidden tome. 	reseacher 1|unluck 2|turn 20	assassin Thing Of Many Eyes
526	Tired of the strict laws and multitude o	2	Tired of the strict laws and multitude of regulations governing their lives, the people of this province has embraced a foreign faith, hoping for liberty.	order 3|pop 20|turn 8	nation -1|newdom 3
527	Sick of harsh laws and repressive taxati	2	Sick of harsh laws and repressive taxation, a large part of of the inhabitants have migrated elsewhere.	order 3|pop 20	emigration 20
528	The over-zealous governor has struck dow	-1	The over-zealous governor has struck down hard on unruly elements in the society.	order 1|minunrest 15|pop 20	kill 2|decscale2 Turmoil|unrest -20
529	Some unnecessary laws have been abolishe	1	Some unnecessary laws have been abolished.	chaos 2|pop 20	incscale2 Turmoil|unrest 10
530	The governor of the province has died fr	2	The governor of the province has died from a wasting disease. His incompetent brother-in-law has now taken over the administrative duties.	order 0|pop 20|capital 0	incscale2 Turmoil|landgold -5|landprod -5
531	Corruption flourishes, diminishing tax r	2	Corruption flourishes, diminishing tax returns.	chaos 2|pop 20	landgold -10
532	The effective government of this provinc	2	The effective government of this province is giving increased tax returns.	order 2|pop 100	landgold 5
533	An atheistic movement has gained followe	2	An atheistic movement has gained followers. They claim that the current efficiency of production only enrichens those in power and demands that the produce of society be returned to the people.	prod 2|dominion 2|pop 20|turn 8	unrest 10|incdom -2
534	Foreign priests have infiltrated the loc	1	Foreign priests have infiltrated the local church and corrupted central tenets of faith!	dominion 1|maxdominion 4|turn 8	nation -1|newdom 5
535	A huge copper bull was excavated from an	2	A huge copper bull was excavated from an ancient buried settlement. The proud locals put it in the shrine, somewhat covering your effigy. A visiting leper was cured and now a cult has formed around the foreign idol.	dominion 1|maxdominion 3|pop 20|turn 8	nation -1|newdom 3
536	A miracle has been performed! Unfortunat	2	A miracle has been performed! Unfortunately the miracle worker adheres to a rival faith.	dominion 1|maxdominion 4|pop 20|turn 8	incdom -3
537	People are being sacrificed in the woods	1	People are being sacrificed in the woods. It may be just a rumor.	forest 1|pop 5	kill 1|unrest 5
538	An enterprising taskmaster has rounded u	-1	An enterprising taskmaster has rounded up some renegade slaves and forced them back into service. He was paid handsomely from the treasury.	national 15|order 1|land 1|turn 8	nation -2|5d6units Elite Warrior|1com Taskmaster|gold -100
539	A Marshmaster has tamed some beasts from	-1	A Marshmaster has tamed some beasts from the swamp.	swamp 1|monster Marshmaster|turn 8	nation -2|1d6units Monster Toad
540	Some serpents from the swamp have been t	-1	Some serpents from the swamp have been tamed.	swamp 1|monster Marshmaster|turn 8	nation -2|1d6units Horned Serpent
541	A skillful Marshmaster has managed to ca	-1	A skillful Marshmaster has managed to catch and tame a beast from the swamp.	swamp 1|monster Marshmaster|turn 8	nation -2|1d6units Swamp Drake
542	An enterprising taskmaster has rounded u	-1	An enterprising taskmaster has rounded up some renegade slaves and forced them back into service. He was paid handsomely from the treasury.	national 47|order 1|land 1|turn 8	nation -2|5d6units Elite Warrior|1com Taskmaster|gold -100
543	A Marshmaster has tamed some beast from 	-1	A Marshmaster has tamed some beast from the swamp.	national 47|swamp 1|monster Marshmaster|turn 8	nation -2|1d6units Monster Toad
544	Some serpents from the swamp have been t	-2	Some serpents from the swamp have been tamed.	national 47|swamp 1|monster Marshmaster|turn 8	nation -2|1d6units Horned Serpent
545	A Marshmaster has managed to catch and t	-2	A Marshmaster has managed to catch and tame a beast from the swamp.	national 47|swamp 1|monster Marshmaster|turn 8	nation -2|1d6units Swamp Drake
546	Swamp-fever has swept the human populati	1	Swamp-fever has swept the human population.	national 47|swamp 1|turn 10	kill 25
547	The autumn has been extraordinarily wet,	1	The autumn has been extraordinarily wet, expanding the marshlands. Toads proliferate and a vicious breed has been attacking travelers.	season 2|swamp 1|fort 0|lab 0|commander 1	assassin Monster Toad
548	A swamp drake has been ravaging the bord	1	A swamp drake has been ravaging the borders of the marshland. Gnawed remains of unfortunate travelers have been found.	season 2|swamp 1|fort 0|lab 0|commander 1	assassin Swamp Drake
549	An animist and his followers are trying 	2	An animist and his followers are trying to reclaim their land.	swamp 1|turn 7|fort 0	1com Animist|addequip 1|8d6units Monster Toad|1d6units Bog Beast
550	People have been found drowned in the sw	1	People have been found drowned in the swamp. Some say they are the victims of human sacrifice performed to appease spirits of the wetlands.	swamp 1|pop 5	kill 1|unrest 5
551	A ragged traveler appeared on the border	-2	A ragged traveler appeared on the borders of the waste. He claimed to have found the ruins of the fabled city of K'leng. Before he was driven back into the waste by villagers offended by his preposterous statement, he offered as proof an item he supposedly found on the gilded altar of a temple in the ruined city.	waste 1|magic 1	magicitem 3
552	Your servant dabbles in arts both dark a	2	Your servant dabbles in arts both dark and dangerous. The vengeful dead have been stirred!	turn 20|land 1|pathdeath 1	incscale2 Death|stealthcom Shade|addequip 3|8d6units Shadow Soldier|8d6units Shade
553	A hunter stumbled upon some strange crea	-2	A hunter stumbled upon some strange creatures feasting in a sunlit glen in the woods. When he approached, they vanished in the blink of an eye. Left on the ground were some unnaturally large acorns. [Handful of Acorns]	forest 1|order 0|magic 0|noseason 3	magicitem 9
554	Strange creatures have been seen in the 	-1	Strange creatures have been seen in the borderlands. Some say they must have come by magical means from other worlds. [Gateway]	pop0ok 1|hiddensite 1	decscale1 Drain
555	The Monolith has attracted a group of wo	-1	The Monolith has attracted a group of worshipers. [Monolith]	foundsite 1	nation -2|4d6units Atlantian Light Infantry|1com Deep Seer
556	A mage has come to study the magics of t	-1	A mage has come to study the magics of the Mirror Palace. [Mirror Palace]	foundsite 1	nation -2|1com Illusionist|incdom 1
557	A creature has emerged from the Tar Pits	1	A creature has emerged from the Tar Pits to wreak havoc. [Tar Pits]	pop0ok 1|foundsite 1|pop0ok 1	1com Fire Elemental
558	The Gold Apple Tree has borne fruit this	-1	The Gold Apple Tree has borne fruit this autumn! [Gold Apple Tree]	foundsite 1|season 2	gold 600|3d6gems Fire
559	A farmer has found a golden apple. [Gold	-1	A farmer has found a golden apple. [Gold Apple Tree]	hiddensite 1	gold 300
560	The power of the earth is strong in this	-2	The power of the earth is strong in this land. The Gold Apple Tree is bearing ample fruit! [Gold Apple Tree]	foundsite 1|growth 1	landgold 100
561	Hot winds are sweeping from the Plain of	1	Hot winds are sweeping from the Plain of Perpetual Drought. [Plain of Perpetual Drought]	pop0ok 1|site 1|noseason 3|heat 0	decscale2 Cold
562	There has been an explosion at the Alche	1	There has been an explosion at the Alchemists Guild! Repairs have been costly and one of the researchers was injured. [Alchemists Guild]	pop0ok 1|foundsite 1|reseacher 1|turn 15	researchaff 4096|gold -200
563	There has been an explosion at the Alche	1	There has been an explosion at the Alchemists Guild! Repairs have been costly. [Alchemists Guild]	foundsite 1	gold -200
564	There has been an explosion at the Alche	-1	There has been an explosion at the Alchemists Guild! Interestingly, an unpredicted reaction produced a huge amount of magical gems. [Alchemists Guild]	foundsite 1	2d6gems Elemental
565	Some alchemists have gathered to trade s	-1	Some alchemists have gathered to trade secrets and find ingredients for their research. One of them has been recruited into service. [Alchemists Guild]	hiddensite 1|land 1	nation -2|1com Alchemist|gold -30
566	Strange lights have been seen in the bog	-1	Strange lights have been seen in the boglands. [Bog of Strange Lights]	hiddensite 1	decscale1 Drain
567	A sage has been studying the flowers of 	-1	A sage has been studying the flowers of the wetlands. He claims to have attracted the attention of some strange beings that now follow him around. [Bog of Strange Lights]	hiddensite 1	nation -2|1com Sage|3d6units Will o' the Wisp
568	A villager claims to have seen a cliff o	-1	A villager claims to have seen a cliff of pure copper in the wilderness. [Copper Cliff]	hiddensite 1	
569	A villager claims to have seen a cliff o	2	A villager claims to have seen a cliff of pure copper in the wilderness.	rare 1	
570	There has been a volcanic eruption! [Vol	1	There has been a volcanic eruption! [Volcano]	site 1	kill 10|unrest 10
571	There has been a catastrophic volcanic e	1	There has been a catastrophic volcanic eruption! Smoke is blotting out the sun and falling ashes are destroying the crops and making people sick. [Volcano]	site 1|pop 10|noseason 3	kill 20|unrest 20|incscale1 Cold|incscale1 Death
572	The volcano has stirred. Creatures of fi	1	The volcano has stirred. Creatures of fire and molten stone are laying waste to the surrounding land! [Volcano]	pop0ok 1|site 1	1com Magma Child|3d6units Magma Child|decscale1 Cold
573	An adept of Pyriphlegeton has arrived to	-1	An adept of Pyriphlegeton has arrived to study the volcanic activity in the area. He was persuaded to swear allegiance after having examined the volcano. [Volcano]	pop0ok 1|site 1	nation -2|1com Adept of Pyriphlegeton
574	A powerful mage has arrived in the provi	-2	A powerful mage has arrived in the province. He is traveling to his fellow brothers of the Golden Order but has been persuaded to serve your will.[Tower of the Golden Order]	pop0ok 1|nearbysite 1|dominion 2|land 1	nation -2|1com Adept of the Golden Order
575	There has been a schism among the Adepts	2	There has been a schism among the Adepts of the Golden Order, escalating to a full-blown sorcerors' enfilade! [Tower of the Golden Order]	pop0ok 1|foundsite 1	1com Adept of the Golden Order|addequip 3|1com Adept of the Golden Order|1com Adept of the Golden Order
576	A powerful mage has arrived in the provi	-1	A powerful mage has arrived in the province. He is traveling to his fellow brothers of the Silver Order. [Tower of the Silver Order]	pop0ok 1|nearbysite 1|land 1	
577	A powerful mage has arrived in the provi	-2	A powerful mage has arrived in the province. He is traveling to his fellow brothers of the Silver Order but has been persuaded to serve your will. [Tower of the Silver Order]	pop0ok 1|nearbysite 1|dominion 2|land 1	nation -2|1com Adept of the Silver Order
578	There has been a schism among the Adepts	2	There has been a schism among the Adepts of the Silver Order, escalating to a full-blown sorcerors' enfilade! [Tower of the Silver Order]	pop0ok 1|foundsite 1	1com Adept of the Silver Order|addequip 3|1com Adept of the Silver Order|1com Adept of the Silver Order
579	A Wizard has been traveling the province	2	A Wizard has been traveling the province in search of a hidden Academy of Magics.	pop0ok 1|land 1|rare 2	
580	A Wizard has been traveling the province	-1	A Wizard has been traveling the province in search of a hidden Academy of Magics. [Academy of High Magics]	pop0ok 1|hiddensite 1	
581	A mighty wizard from the local academy h	-2	A mighty wizard from the local academy has come to serve. [Academy of High Magics]	pop0ok 1|site 1	nation -2|1com Wizard|1d6units Will o' the Wisp
582	Magical beings have escaped from the Aca	2	Magical beings have escaped from the Academy! [Academy of High Magics]	pop0ok 1|foundsite 1	1com Cockatrice|1d6units Gelatinous Cube|3d6units Phantasmal Warrior|1com Phantasmal Warrior
583	Some magical beings have escaped from th	1	Some magical beings have escaped from the Academy! [Academy of High Magics]	pop0ok 1|foundsite 1	1com Cockatrice|1d6units Cockatrice
584	Some magical beings have escaped from th	1	Some magical beings have escaped from the Academy! [Academy of High Magics]	foundsite 1	1com Kithaironic Lion|1d6units Kithaironic Lion
585	Some magical beings have escaped from th	1	Some magical beings have escaped from the Academy! [Academy of High Magics]	foundsite 1	1com Mechanical Man|1d6units Mechanical Man
