id	name	wpn1	wpn2	wpn3	wpn4	wpn5	wpn6	wpn7	armor1	armor2	armor3	armor4	rt	reclimit	basecost	gmon	gcom	rcost	size	ressize	hp	prot	mr	mor	str	att	def	prec	enc	mapmove	ap	ambidextrous	mounted	reinvigoration	leader	undeadleader	magicleader	startage	maxage	hand	head	body	foot	misc	pathcost	startdom	inn	F	A	W	E	S	D	N	B	H	rand1	nbr1	link1	mask1	rand2	nbr2	link2	mask2	rand3	nbr3	link3	mask3	rand4	nbr4	link4	mask4	holy	inquisitor	mind	inanimate	undead	demon	magicbeing	stonebeing	animal	coldblood	female	forestsurvival	mountainsurvival	wastesurvival	swampsurvival	cavesurvival	aquatic	amphibian	pooramphibian	float	flying	stormimmune	teleport	immobile	noriverpass	sailingshipsize	sailingmaxunitsize	stealthy	illusion	spy	assassin	patience	seduce	succubus	corrupt	heal	immortal	reinc	noheal	neednoteat	homesick	undisciplined	formationfighter	slave	standard	inspirational	taskmaster	beastmaster	bodyguard	waterbreathing	iceprot	invulnerable	slashres	bluntres	pierceres	shockres	fireres	coldres	poisonres	voidsanity	darkvision	blind	animalawe	awe	halt	fear	berserk	cold	heat	fireshield	banefireshield	damagerev	poisoncloud	diseasecloud	slimer	mindslime	disbel	reform	regeneration	reanimator	barbs	petrify	eyeloss	ethereal	ethtrue	deathcurse	trample	trampswallow	stormpower	firepower	coldpower	darkpower	chaospower	magicpower	winterpower	springpower	summerpower	fallpower	forgebonus	fixforgebonus	mastersmith	resources	autohealer	autodishealer	alch	nobadevents	event	insane	shatteredsoul	leper	taxcollector	gem	gemprod	chaosrec	pillagebonus	patrolbonus	castledef	siegebonus	incprovdef	supplybonus	incunrest	popkill	researchbonus	drainimmune	inspiringres	douse	sacr	ivylord	crossbreeder	makepearls	pathboost	allrange	voidsum	heretic	elegist	shapechange	firstshape	secondshape	secondtmpshape	landshape	watershape	forestshape	plainshape	unique	fixedname	special	nametype	type	typeclass	from	summon	n_summon	autosum	n_autosum	batstartsum1	batstartsum2	domsummon	n_domsummon	bloodvengeance	bringeroffortune	realm1	realm2	realm3	batstartsum3	batstartsum4	batstartsum5	batstartsum1d6	batstartsum2d6	batstartsum3d6	batstartsum4d6	batstartsum5d6	batstartsum6d6	turmoilsummon	coldsummon	scalewalls	baseleadership	explodeondeath	startaff	uwregen	shrinkhp	growhp	transformation	startingaff	fixedresearch	divineins	lamiabonus	preanimator	dreanimator	mummify	onebattlespell	fireattuned	airattuned	waterattuned	earthattuned	astralattuned	deathattuned	natureattuned	bloodattuned	magicboostF	magicboostA	magicboostW	magicboostE	magicboostS	magicboostD	magicboostN	magicboostALL	eyes	heatrec	coldrec	spreadchaos	spreaddeath	corpseeater	poisonskin	bug	uwbug	spreadorder	spreadgrowth	startitem	spreaddom	reform	battlesum5	acidsplash	drake	prophetshape	horror	enchrebate50	heroarrivallimit	sailsize	uwdamage	landdamage	test
903	Celestial Servant	317											1		0	0	0	1	5	5	48	4	14	14	24	9	9	9	1	2	12				40	0	40	187	500	2	1	1	1	2																													1						1																																	1																																																																																-3																												u	Unit	Summon																										40																																																							
904	Demon of Heavenly Rivers	165							113				1		0	0	0	1	3	3	32	5	15	15	20	12	10	10	1	2	12				40	0	40	187	500	2	1	1	1	2																													1						1											1																						1																											4																																																																																	u	Unit	Summon																										40																																																							
905	Jade Emperor	92							159				1		10000	50	50	1	6	6	110	3	18	30	20	10	10	10	4	3	12				120	0	0	598	1000	2	1	1	1	2	60	3			1	1		1																																																																																																																														33																																										g	Pretender												4															120																																																							
906	King of Deeper Earth	92											1		0	0	0	1	6	6	130	12	18	30	27	13	9	9	0	2	10				80	0	40	656	1000	2	1	1	0	2							5																												1						1						1																					1																			15																				10																																		1E																															1	Barathrus			c	Mage	Summon	495	1																								80																																																							
907	Queen of the Deeps	90											1		0	0	0	1	6	6	65	0	18	30	18	15	15	10	0	2	10				80	0	40	656	1000	2	1	1	0	2						5																													1				1						1																			1				1													1	1	1			15	15		100																																																																																			1	Bathusma			c	Mage	Summon	410	1																								80			90																																																				
908	Queen of the Lake	90											1		0	0	0	1	6	6	65	0	18	30	18	15	15	12	0	2	10				80	0	40	656	1000	2	1	1	0	2						5																													1				1							1																		1				1										75			1	1	1			15	15																				50																																																																	1	Limne			c	Mage	Summon																										80																																																							
909	King of Banefires	348											1		0	0	0	1	6	6	54	0	18	30	20	15	9	10	0	2	14				80	0	40	794	1000	2	1	1	0	2				4					3																								1		1																																	1																	25		25		100					5			5		15													1																																																												1	Antrax			c	Mage	Summon																										80																																																							
910	King of Magma	229											1		0	0	0	1	6	6	87	9	18	30	23	13	9	10	0	2	14				80	0	40	724	1000	2	1	1	0	2				5			1																												1																																	1																	25		15		100								10	10																				1																																																						1	Rhuax			c	Mage	Summon	640	2																								80																																																							
911	Queen of Thunder	231	185	185	185								1		0	0	0	1	6	6	45	0	18	30	16	15	13	13	0	3	30				80	0	40	656	1000	2	1	1	0	2					5																														1				1										1																			1																15			15																									1					4																																																							1	Thuella			c	Mage	Summon																										80																																																					100		
912	Queen of Clouds	231	185										1		0	0	0	1	6	6	45	0	18	30	14	13	15	13	0	3	30				80	0	40	656	1000	2	1	1	0	2					5																														1				1										1								1											1																15			15																									1					3																																																							1	Nephele			c	Mage	Summon	562	1																								80																																																					100		
913	Vaetti Hag	543							15				1		10007	7	45	1	1	1	7	0	14	9	8	8	8	10	3	2	10				10	0	0	60	50	2	1	1	1	2													100	1	1	30720																							1	1																40																																																																																															-2																									c	Mage	Recruitment																										10																																																							
914	Soulless Warrior	1							6	2			1		0	0	0	1	2	2	15	0	5	50	12	7	5	5	0	2	6				10	40	0	187	500	2	1	1	1	2																																1	1														1																				1	1		1																15	25																																																																																									u	Unit	Battle Summon																										10		50																																																					
915	Soulless Warrior	8							12	2			1		0	0	0	1	2	2	15	0	5	50	12	7	5	5	0	2	6				10	40	0	187	500	2	1	1	1	2																																1	1														1																				1	1		1																15	25																																																																																									u	Unit	Battle Summon																										10		50																																																					
916	Soulless Warrior	66							15				1		0	0	0	1	4	4	45	3	6	50	24	7	5	5	0	3	8				10	40	0	187	500	2	1	1	1	2																																1	1														1																				1	1		1																15	25																																																																																									u	Unit	Battle Summon																										10		50																																																					
917	Soulless Warrior	66							13	20			1		0	0	0	1	4	4	45	3	6	50	24	7	5	5	0	3	8				10	40	0	187	500	2	1	1	1	2																																1	1														1																				1	1		1																15	25																																																																																									u	Unit	Battle Summon																										10		50																																																					
918	Soulless Warrior	1							6				1		0	0	0	1	3	3	13	0	6	50	11	7	4	5	0	2	6				10	40	0	187	500	2	1	1	1	2																																1	1														1																				1	1		1																15	25																																																																																									u	Unit	Battle Summon																										10		50																																																					
919	Soulless Warrior	31											1		0	0	0	1	2	2	17	0	5	50	13	7	4	5	0	2	6				10	40	0	187	500	2	1	1	1	2																																1	1													1																					1	1		1																15	25																																																																																									u	Unit	Battle Summon																										10		50																																																					
920	Soulless Warrior	31							22				1		0	0	0	1	2	2	17	0	5	50	13	7	4	5	0	2	6				10	40	0	187	500	2	1	1	1	2																																1	1													1																					1	1		1																15	25																						1																																																																			u	Unit	Battle Summon																										10		50																																																					
921	Soulless Warrior	1											1		0	0	0	1	2	2	16	4	6	50	12	7	5	5	0	2	6				10	40	0	187	500	2	1	1	1	2																																1	1														1																				1	1		1																15	25																																																																																									u	Unit	Battle Summon																										10		50																																																					
922	Soulless Warrior	1							12	2			1		0	0	0	1	2	2	16	4	6	50	12	7	5	5	0	2	6				10	40	0	187	500	2	1	1	1	2																																1	1														1																				1	1		1																15	25																																																																																									u	Unit	Battle Summon																										10		50																																																					
923	Warlock Apprentice	9											1		10020	20	135	1	2	2	15	0	14	10	13	10	9	8	2	2	10				10	0	0	35	35	2	1	1	1	2								1			2																															1																																											25				50								3																																																																															c	Mage	Recruitment																										10																																																							
924	Iron Pig	20											1		0	0	0	1	3	3	15	20	5	8	12	8	8	5	5	3	10				40	0	0	12	21	0	0	0	0	2																																					1			1																														1														-5																															1																																																													u	Unit	Summon																										40																																																							
925	Tarrasque	319	29	535	532								1		0	0	0	1	6	6	245	19	18	30	27	13	9	10	4	1	8				40	0	0	770	1000	0	0	0	0	2																																											1																					1																							25							10							10						10																																									-10																												u	Unit	Summon																										40																																																							
926	Demon of Heavenly Fires	320	321										1		0	0	0	1	3	3	24	0	15	15	15	13	10	13	1	2	12				40	0	40	187	500	2	1	1	1	2																													1						1														1																			1																	25												3																					1																																																										u	Unit	Summon																										40																																																							
927	Noble	10							17	118	1		1		10035	50	110	25	4	2	12	5	10	13	11	11	12	10	5	3	16		1		80	0	0	27	50	2	1	1	0	2																																																																																																																			1																																																													c	Commander	Recruitment																										80																																																							
928	Heavy Footman	308							17	118			1		10010	10	40	1	2	2	10	0	10	10	10	10	10	10	3	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
929	Heavy Footman	1							17	118	4		1		10010	10	40	1	2	2	10	0	10	10	10	10	10	10	3	1	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
930	Khan	4	10	56	264				17	118	2		1		10025	40	140	15	3	2	14	0	10	13	12	13	13	8	5	3	22		1		120	0	0	33	50	2	1	1	0	2																																																																																																																																															5																																	c	Commander	Recruitment																										120																																																							
931	Ivy King	92	92										1		0	0	0	1	4	4	63	7	16	16	19	13	9	8	0	2	12				40	0	40	576	1000	2	0	1	1	2										3																									1					1							1																					1														1	1				15				5																																																																	3																			145	c	Mage	Summon																										40																																																							
932	Hama Dryad	284											1		0	0	0	1	2	2	10	0	15	10	9	10	10	10	3	2	12				40	0	0	59	300	2	1	1	1	2																																							1	1																40								1				1	40																		15					4															20					1																																																																u	Unit	Summon																										40																																																							
933	King of Legends	9											1		0	0	0	1	2	2	35	8	17	30	16	12	9	10	0	3	8				40	80	0	462	500	2	1	1	1	2									3		3	3																	1			1	1																																			1															1		-10	15	25																																																																																						Mictlipoctli	Hero, Mictlan EA & LA		c	Hero	Event																										40											2	2																																											
934	Feathered Serpent	239											1		0	0	0	1	4	4	20	5	18	14	11	14	10	12	3	2	10				80	0	40	418	300	0	1	0	0	2					2			3		3	2	3																	1						1			1		1			1						1																									1													15																																																																													935									Quetzalcoatl	Hero, Mictlan		c	Hero	Event																										80																																																							
935	Priest King	9							20				1		0	0	0	1	2	2	15	0	18	14	11	12	12	10	3	2	12				120	0	0	429	300	2	1	1	1	2					2			3		3	2	3																	1											1			1																																												15																																																																													934									Quetzalcoatl	Hero, Mictlan		c	Hero	Event																										120																																																							
936	Eagle Priest	1	9						44				1		0	0	0	1	2	2	15	0	14	14	12	13	13	10	3	2	12	3			40	0	0	37	50	2	1	1	1	2					1						1	1																	1											1									1																																																																																																																												Tepeyocatl	Hero, Mictlan EA & LA		c	Hero	Event																										40																																																							
937	Marshmaster	29											1		10010	10	245	1	2	2	11	5	16	10	10	9	9	10	4	2	9				10	0	0	90	75	2	1	1	1	2						1			2	2			100	1	1	14848	10	1	1	14848																		1					1																																												8																																																																																									c	Mage	Recruitment																										10																																																							
938	Barbarian Horseman	264	357						15	118	1		1		10005	20	50	1	3	2	12	0	10	11	10	11	11	8	4	3	24		1		40	0	0	22	50	2	1	1	0	2																																																																																																																																															2																																	u	Unit	Recruitment																										40																																																							
939	Barbarian Heavy Horseman	4	10	56	264				17	118	2		1		10010	25	55	1	3	2	12	0	10	12	10	11	11	8	5	3	23		1		40	0	0	22	50	2	1	1	0	2																																																																																																																																															2																																	u	Unit	Recruitment																										40																																																							
940	Master of the Five Elements	9											1		10010	13	255	1	2	2	10	0	16	10	10	9	9	11	3	2	8				10	0	0	177	150	2	1	1	1	2				1	1	1	1			1		1	100	1	1	10112													1																																																																																																																																																			c	Mage	Recruitment																										10																																																							
941	Celestial Master	9											2		10010	11	320	1	2	2	10	0	16	10	10	8	8	11	3	3	8				10	0	0	275	300	2	1	1	1	2				1	1	2		1				2	100	1	1	2816	10	1	1	2816	100	1	1	13440					1																				1																																																																																																																															c	Mage	Recruitment																										10																																																							
942	Immortal	345							502				1		0	0	0	1	2	2	9	0	17	10	9	8	8	11	3	2	10				40	0	0	550	1000	2	1	1	1	2					1					2																			1										1										1																1																																															1																			1																																										Ho Hsien-Ku	Hero, T'ien Ch'i		c	Hero	Event																										40																																																							
943	Immortal	345	344										1		0	0	0	1	2	2	13	0	18	13	11	15	14	13	3	1	12	3			120	0	0	550	1000	2	1	1	1	2				1	1	2		3				2																	1																				1																1																																																																																																												Lu Tung-Pin	Hero, T'ien Ch'i		c	Hero	Event																										120																																																							
944	Master With The Iron Crutch	326											1		0	0	0	1	2	2	12	0	17	15	10	11	11	11	3	1	8				10	0	0	865	500	2	1	1	1	2					2			2	2																				1																																				1																													5								5																																																																							Li T'ieh-Kuai	Hero, T'ien Ch'i		c	Hero	Event																										10		100																																																					
945	Shade King	42											1		0	0	0	1	2	2	20	0	14	15	12	12	13	10	0	3	12				10	160	0	576	1000	2	1	1	1	2												2																	1				1														1									40												1																		15	25																									1								3																																																					Tenebrus	Hero, Ermor, LA		c	Hero	Event							442	?																		10																																																							
946	Lady of Spiders	7											1		0	0	0	1	2	2	11	0	17	12	9	11	12	11	2	2	12				80	0	0	55	100	2	1	1	1	2				1			3		3																														1	1																																																																																																																												947									Ainra	Hero, Machaka		c	Hero	Event																										80																																																							
947	Great Spider	65	261	262									1		0	0	0	1	5	5	26	14	17	13	11	12	10	10	2	2	14				40	0	0	40	100	0	0	0	0	2				1			3		3																												1			1																																															15																																																																													946										Hero, Machaka		c	Hero	Event																										40																														-1	8																								
948	Vanadrott	1	21	56					49	20	2		2		10025	45	420	1	3	2	15	0	18	14	13	14	16	14	4	3	26		1		120	0	0	656	1000	2	1	1	0	2					3						1	2	100	1	1	21760	10	1	1	21760									1																									999	3	65	1																																																																																																																							c	Mage	Recruitment																										120																																																							
949	Raven Guard	6	9						198	118			1		10016	17	50	1	3	2	12	0	10	13	11	12	11	10	4	2	9	2			40	0	0	22	50	2	1	1	1	2																																																	1							40																																																																																																																							111	u	Unit	Recruitment																										40																																																							
950	Völva	7											1		10010	10	105	1	2	2	9	0	14	10	8	8	8	10	4	1	8				0	0	0	37	50	2	1	1	1	2								2																															1																																																																																															5																																										c	Mage	Recruitment																										0																																																							
951	Harab Seraph	6							148				1		10010	10	135	1	3	2	9	0	14	12	9	8	7	12	4	2	8				40	0	0	37	50	2	1	1	1	2					1				1				100	1	1	6016																																	1																																																																																																																															c	Mage	Recruitment																										40																																																							
952	Hero	165							14	20	112		1		0	0	0	1	2	2	15	0	10	16	17	12	12	10	2	3	12				80	0	0	27	50	2	1	1	1	2																																								1																																		1																																																																																																			Abasi	Hero, Machaka		c	Hero	Event																										80																																																							
953	King Triumphant	10							14	20			1		0	0	0	1	2	2	12	0	10	12	11	12	12	10	2	3	15				120	0	0	66	50	2	1	1	1	2												3																	1											1																																		1																		1																																																																																	Yasini	Hero, Machaka		c	Hero	Event																										120																																																							
954	Son of Titans	6							14	123	2		1		0	0	0	1	2	2	16	0	14	18	14	15	11	10	3	2	12				120	0	0	275	400	2	1	1	1	2																																																																										1						20												1																																																																																	Pathos	Hero, Arcoscephale		c	Hero	Event																										120																																																							
955	Asynja	8							13	2	20		1		50	50	50	1	6	6	85	3	18	30	20	15	15	13	2	3	16				160	0	0	563	1000	2	1	1	1	2					2																																		1																																																																																																																																									n/a	Unused																											160																																																							
956	Mother of Tuathas	1							2				1		10000	50	50	1	6	6	85	3	18	30	20	13	13	13	2	3	16				120	0	0	598	1000	2	1	1	1	2	60	3			2					1																													1																	65	1																																																																																																																							g	Pretender																											120																																																							
957	Lord of The Desert Sun	315	20										1		10000	50	50	1	6	6	90	3	18	30	24	14	13	13	2	3	16				120	0	0	598	1000	2	1	1	1	2	60	3		2						1																														1		1																																											15																																																																																											g	Pretender												5						628									120																																																							
958	Colossal Head												1		10000	40	40	1	6	6	300	25	18	30	15	5	0	5	0	0	2				120	0	0	1043	2400	0	0	0	0	1	40	4	1				1				2																					1				1										1						1																1													1		1				25			1																																																																2																						g	Pretender												6															120																																																							
959	Pocket Knight	4	8	56					18	20	3		1		55	55	55	1	3	3	11	20	15	30	11	11	11	10	1	2	20		1		40	0	0	444	1200	2	1	1	0	2																																1																																				1																	5	15	25																																																																																						Percival			c	Commander	item																										40																																																							
960	Pocket Lich	20											1		0	0	0	1	1	1	8	8	18	30	6	8	10	12	0	2	6				10	40	0	315	500	0	1	0	0	1									5																							1	1														1																					1															1		-5	15	25																																																																																						Carcator			c	Mage	item																										10																																																							
961	Titan of the Sea	641											1		10000	50	50	1	6	6	88	3	18	30	25	12	13	11	2	2	16				160	0	0	631	1000	2	1	1	1	2	60	3				2	1																																							1																																75																																																																																																		g	Pretender												3															160																																																							
962	Madman	591											1		1	1	1	1	2	2	10	0	5	50	11	7	7	7	4	1	12				10	0	10	22	50	2	1	1	1	2																																			1																																																																																																					50																																								u	Unit	Summon																										10																																																							
963	Mad Priest	591	591						195				1		2	2	2	1	2	2	9	0	14	30	9	7	7	10	4	2	10	2			10	0	10	33	50	2	1	1	1	2												1																	1																																																																																																											50																																								c	Priest	Summon																										10																																																							
964	Lord of Fertility	339											1		10000	50	50	1	6	6	90	3	18	30	22	12	12	12	2	3	16				120	0	0	530	1000	2	1	1	1	2	60	3					1			2																														1																																																																																																												50																												g	Pretender																											120																																																							
965	Lord of Fertility	339											1		50	50	50	1	6	6	90	3	18	30	22	12	12	12	2	3	16				120	0	0	392	1000	2	1	1	1	2																																								1																																																				3																																																								50																										Primal Forest site guardian		c	Mage	Special																										120																																																							
966	Formless Spawn	90	90										1		0	0	0	1	4	4	44	6	15	50	16	12	12	0	0	2	10				40	0	10	1104	3000	0	0	0	0	2																													1						1											1																						1													1	1	1		5		15	20		1																	10																																																																					u	Unit	Magic site																										40																																																							
967	Hybrid	85											1		10008	8	35	1	2	2	11	1	10	11	11	10	10	10	3	2	10				40	0	0	77	200	2	1	1	1	2																																														1																																																																																																																																		u	Unit	Freespawn																										40																																																							
968	Hybrid	85	85										1		10010	10	40	1	2	2	11	3	10	11	11	10	8	9	4	2	5				40	0	0	77	200	2	1	1	1	2																																														1																																																																																																																																		u	Unit	Freespawn																										40																																																							
969	Hybrid	252	85						5				1		10010	10	40	1	2	2	11	3	10	11	11	10	8	9	4	2	5				40	0	0	77	200	2	1	1	1	2																																														1																																																																																																																																		u	Unit	Recruitment																										40																																																							
970	Hybrid	1	85						5				1		10012	12	40	1	2	2	13	1	10	11	12	10	10	10	3	2	10				40	0	0	77	200	2	1	1	1	2																																														1																																																																																																																																		u	Unit	Recruitment																										40																																																							
971	Hybrid Trooper	1	85						188	152	2		1		10013	13	40	1	2	2	13	1	10	11	12	10	10	10	3	2	10				40	0	10	77	200	2	1	1	1	2																																														1																																																																																																																																		u	Unit	Recruitment																										40																																																							
972	Hybrid Soldier	3							9				1		10014	14	40	1	2	2	15	2	12	10	11	10	9	11	3	2	10				40	0	10	77	200	2	1	1	1	2																																														1																																																																																																																																		c	Commander	Recruitment																										40																																																							
973	Ancient Kraken	628	628	628	628	342							1		10000	0	0	1	6	6	230	8	18	30	23	14	8	8	2	1	12	5			40	0	80	2750	3000	4	0	0	0	2	80	2					1	1																																					1											60								1																		1				5	10		100					5																																																																																		g	Pretender												9														1	40																																																							
974	Ichtyid	263	373										1		10010	10	40	1	2	2	16	5	8	12	11	9	8	7	3	2	8				40	0	0	22	50	2	1	1	1	2																																														1																																																																																																																																		u	Unit	Recruitment																										40																																																							
975	Ichtyid Warrior	373							114	25	134		1		10010	10	40	1	2	2	17	5	8	12	11	9	8	7	3	2	8				40	0	0	22	50	2	1	1	1	2																																														1																																																																																																																																		u	Unit	Recruitment																										40																																																							
976	Ichtyid Lord	670							114	25	134		1		10010	10	40	1	2	2	18	5	8	12	12	10	9	8	3	2	8				40	0	0	22	50	2	1	1	1	2																																														1																																																																																																																																		c	Commander	Recruitment																										40																																																							
977	Grand Thaumaturg	7							148				2		0	0	0	1	2	2	12	5	18	7	10	8	8	10	4	2	10				10	0	0	200	150	2	1	1	1	2								2	4			2																	1									1					1																																												5																																																																																						Zirru	Hero, Ermor MA		c	Hero	Event																										10																																																							
978	Great Black Bull	55	331										1		10000	50	50	1	6	6	183	12	18	30	30	13	12	8	2	3	20				80	0	0	519	1000	0	0	0	0	2	80	2								1	1																													1																								1																															7																				1																																																												109	g	Pretender												3															80																																																							
979	Great White Bull	55	331										1		10000	25	25	1	6	6	181	12	18	30	30	13	12	8	2	3	20				80	0	0	519	1000	0	0	0	0	2	80	2					1			1																														1																								1																															5																				1																																	50																											109	g	Pretender												3															80																																																							
980	Treelord	240	240	240									1		0	0	0	1	6	6	250	20	18	30	15	8	0	8	0	0	2				10	0	0	1100	1000	0	0	0	0	2			1							4	1																													1												1																1														1	1		-5																																																																							3																1			145	c	Mage	Summon																		1224								10																																																							
981	Dying Treelord	240	240	240									1		0	0	0	1	6	6	250	16	18	30	12	8	0	8	0	0	2				10	0	0	4400	1000	0	0	0	0	2			1							5																														1												1																1														1	1		-5		10																																																																					4																1			145	c	Mage	Summon																										10														95																																									
982	Clockwork Horror	343	343										1		0	0	0	1	1	1	5	18	12	50	12	12	10	5	0	3	18			-15	40	0	10	0	400	0	1	1	1	2																																1			1												1																					1																15	15	15	25																																																																																									u	Unit	Summon																										40																																																							
983	Humanbred	17							6	20	4		1		10013	15	45	1	2	2	12	0	11	10	11	10	9	8	3	2	11				40	0	0	20	45	2	1	1	1	2																																										1																																											15																																																																																											u	Unit	Recruitment																										40																																																							
984	Abysian Light Infantry	1							6	20	4		1		10012	13	40	1	2	2	12	0	11	10	11	10	9	8	3	2	11				40	0	0	20	45	2	1	1	1	2																																										1																																											15																																																																																											u	Unit	Recruitment																										40																																																							
985	Abysian Light Infantry	17							6	20	4		1		10012	13	40	1	2	2	12	0	11	10	11	10	9	8	3	2	11				40	0	0	20	45	2	1	1	1	2																																										1																																											15																																																																																											u	Unit	Recruitment																										40																																																							
986	Abysian Heavy Infantry	17							14	20	4		1		10012	13	40	1	2	2	12	0	11	10	11	10	9	8	3	1	11				40	0	0	20	45	2	1	1	1	2																																										1																																											15																																																																																											u	Unit	Recruitment																										40																																																							
987	Abysian Heavy Infantry	15							14	20	4		1		10012	13	40	1	2	2	12	0	11	10	11	10	9	8	3	1	11				40	0	0	20	45	2	1	1	1	2																																										1																																											15																																																																																											u	Unit	Recruitment																										40																																																							
988	Abysian Heavy Infantry	18							14	20			1		10012	13	40	1	2	2	12	0	11	10	11	10	9	8	3	1	11				40	0	0	20	45	2	1	1	1	2																																										1																																											15																																																																																											u	Unit	Recruitment																										40																																																							
989	Abysian Heavy Infantry	16							14	20			1		10012	13	40	1	2	2	12	0	11	10	11	10	9	8	3	1	11				40	0	0	20	45	2	1	1	1	2																																										1																																											15																																																																																											u	Unit	Recruitment																										40																																																							
990	Guardian of the Pyre	15							14	20	4		1		10025	30	70	1	2	2	17	0	12	13	14	11	10	7	2	1	11				40	0	0	16	35	2	1	1	1	2																													1													1																																											25				50								3																																																																															u	Unit	Recruitment																										40																																																							
991	Newt	9											1		10012	16	85	1	2	2	11	0	13	10	13	10	9	8	3	2	11				40	0	0	30	45	2	1	1	1	2				1								1																	1													1																																											15																																																																																											c	Mage	Recruitment																										40																																																							
992	Abysian Commander	18							14	20			1		10012	13	70	1	2	2	14	0	11	12	12	11	10	8	3	2	11				80	0	0	25	45	2	1	1	1	2																																										1																																											15																																																																																											c	Commander	Recruitment																										80																																																							
993	Slave of Belphegor	1							6	2	119		1		10010	10	40	1	2	2	10	0	10	12	10	10	10	10	3	2	12				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Freespawn																										40																																																							
994	Eater of the Dead	90	284										1		0	0	0	1	6	6	180	4	18	30	20	10	4	4	0	2	8				40	160	0	1104	3000	0	0	0	0	2																																	1														1																	1				1														1				15	25							5								5					10								1	1																																																								1				u	Unit	Summon																										40																																				10																			
995	Eater of the Dead	90	142	284									1		0	0	0	1	6	6	180	5	18	30	22	12	5	5	0	2	9				40	160	0	1104	3000	0	0	0	0	2																																	1														1																	1				1														1				15	25							8								8					10								1	1																																																								1				u	Unit	Summon																										40																																				20																			
996	Eater of the Dead	90	142	90	284								1		0	0	0	1	6	6	180	6	18	30	24	14	6	6	0	2	10				40	160	0	1104	3000	0	0	0	0	2																																	1														1																	1				1														1				15	25							10								11					15								1	1																																																								1				u	Unit	Summon																										40																																				30																			
997	Unfettered	90	142	90	63	284							1		0	0	0	1	6	6	180	7	18	30	26	16	7	7	0	2	12				40	160	0	1104	3000	0	0	0	0	2																																	1														1																	1				1														1				15	25							15								14					15								1	1																																		250																						1				c	Commander	Summon																										40																																				60																			
998	Bane Lord	41							13	21			1		0	0	0	1	3	3	42	7	16	18	19	14	14	10	0	3	10				40	160	0	187	500	2	1	1	1	2																																	1														1																					1																		25	25									3																																																																																c	Commander	Summon																										40																																																							
999	Wizard of the Crescent Moon	92											2		10010	9	210	1	2	2	10	0	14	12	9	8	8	12	3	2	10				10	0	0	45	50	2	1	1	1	2						2		1					100	1	1	6912																																																																																																																																							10																									c	Mage	Magic site																										10																																																							
1000	Demon Jester	33	360										1		0	0	0	1	2	2	16	5	14	14	12	11	12	10	2	2	8				40	40	0	370	1000	2	1	1	1	2																																		1															1																			1					1																																																																																																							u	Unit	Summon																										40		25																																																					
1001	Asmeg	8							18	20	2		1		30	30	30	1	3	3	20	2	14	14	15	12	12	12	3	2	15				80	0	0	88	200	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										80																																																							
1002	Asmeg Jarl	8							18	20	2		1		160	160	160	1	3	3	23	2	16	15	16	14	14	14	3	2	15				120	0	0	147	200	2	1	1	1	2					2							1																	1																																																																																																																																																			c	Mage	Recruitment																										120																																																							
1003	Harab Elder	6							148				2		10010	11	325	1	3	2	9	0	16	13	9	8	8	12	4	2	7				40	0	0	60	50	2	1	1	1	2					2		1		2			2	100	1	1	6016	10	1	1	6016									1																				1																																																																																																																															c	Mage	Recruitment																										40																																																							
1004	Caelian Seraph	35											1		10010	10	125	1	3	2	9	0	14	11	9	8	7	12	4	2	8				10	0	0	45	50	2	1	1	1	2					2	1																																											1																																					15																																																																																										c	Mage	Recruitment																										10																																																							
1005	Minotaur Manikin	71	29	331									1		0	0	0	1	3	3	29	0	13	50	16	6	7	4	0	3	8				40	40	0	187	500	2	1	1	1	2																																1	1		1					1							1																					1															1				25																																																																																									u	Unit	Freespawn																										40																																																							
1006	Carrion Beast	71	71										1		0	0	0	1	6	6	95	6	9	50	22	6	5	5	0	3	12				40	10	0	187	500	0	0	0	0	2																																1	1		1					1							1																					1															1				25							5																					1																																																													u	Unit	Freespawn																										40																																																							
1007	Mad Deep One	29											1		5	5	5	1	2	2	13	2	5	50	12	8	7	5	3	2	8				40	0	10	22	500	2	1	1	1	2																																			1											1																																											50																																															50																																								u	Unit	Summon																										40																																																							
1008	Fanatic Deep One	670											1		10	10	10	1	2	2	12	2	10	15	11	9	7	8	3	2	9				40	0	0	22	500	2	1	1	1	2																													1																	1																																											50																																																																																							u	Unit	Summon																										40																																																							
1009	Holy Deep One	671											1		10	10	10	1	2	2	12	2	13	13	11	9	7	8	3	2	9				40	0	10	33	500	2	1	1	1	2												1																	1																	1																																											50																																															50																																								c	Priest	Summon																										40																																																							
1010	Svartalf	13											2		10010	9	200	1	1	1	9	4	16	13	13	10	11	10	3	2	6				10	0	0	217	250	2	1	1	1	2							2		2				100	1	1	5504																									1																																																50																																																																																							c	Mage	Recruitment																										10																																																							
