id	name	rarity	loc	level	path	F	A	W	E	S	D	N	B	gold	res	sup	unr	exp	lab	fort	scale1	scale2	domspread	turmoil	sloth	cold	death	misfortune	drain	fireres	coldres	shockres	poisonres	str	prec	mor	undying	att	darkvision	aawe	rit	ritrng	hmon1	hmon2	hmon3	hmon4	hmon5	voidgate	sum1	n_sum1	sum2	n_sum2	sum3	n_sum3	conj	alter	evo	const	ench	thau	blood	heal	disease	curse	horror	holyfire	holypow	scry	adventure	other	sum4	n_sum4	hcom1	hcom2	hcom3	hcom4	hcom5	mon1	mon2	mon3	mon4	mon5	com1	com2	com3	com4	com5	reveal	provdef1	provdef2	def	F2	A2	W2	E2	S2	D2	N2	B2	awe	reinvigoration	test
436	Pyramid of Life	1	223	1	Astral					1	1																																																																																											
437	Totem Collection	1	223	1	Astral					1		1									Luck																																																																																	
438	Gateway	2	735	1	Astral					1																																													20%																																															
439	Distortion	2	735	1	Astral					1																															*	2																		20%																																										
440	Nexus	2	735	1	Astral					1																															S	1																	20%																																											
441	Village of Strange Men	2	223	1	Astral					1																																														20%																																														
442	The Ancient Master	1	16607	1	Astral													8																																																																																				
443	The Crystal Citadel	1	16607	2	Astral				1	1									lab	5																																																															340																			
444	Citadel of the Lore Masters	1	16607	2	Astral					2									lab																																																																479	478																		
445	The Metal Spires	2	16607	3	Astral					3									lab																																																																101	100	477																	
446	The Council of Sages	2	16607	1	Astral		1	1	1	1																																																																									479																			
447	Moon Mages Circle	2	16607	2	Astral					2	1																																																																								342																			
448	The Hidden Kingdom of Elludia	2	16607	2	Astral					3	1																																																																								630	629																		
449	The Grey Tower of Nexus	2	16607	3	Astral					3																																																																				390					391	106																		
450	The Ultimate Gateway	2	17119	3	Astral																																																		40%																																															
451	Library of Time	2	16607	4	Astral					4																																																																									106					999														
452	The Crystal Academy	2	17119	3	Astral				1	1									lab																																																																340																			
453	Temple of the All-Seeing Eye	2	17119	3	Astral																																																															1																																		
454	Hall of Enlightenment	2	16388	4	Astral					2																																																	30%																																											
455	Moonlit Pond of Pearls	2	223	2	Astral					3																																																																																												
456	Strange House in the Mist	2	16607	3	Astral					1																																						20%																																																						
457	The Cave of Souls	2	16900	1	Astral					2	1																																																																																											
458	The Mountain of the Past	2	16392	4	Astral					4																																																																																												
459	The Endless Field of Cubes	2	16392	4	Astral					4																																																							2%																																					
460	Enchanted Gate	0	735	1	Astral					1																																																																																												
461	Skywatch Tower	1	223	1	Astral					1																																																																																												
462	Nightlight Fen	1	128	2	Astral	1				1																																																																																												
463	Moon Mirror	1	223	2	Astral		1			1																																																																																												
464	Mooncatch Lake	1	223	2	Astral			1		1																																																																																												
465	Mountain Crater	1	4	2	Astral				1	1																																																																																												
466	Painted Crypt	1	735	2	Astral					1	1																																																																																											
467	Moonvine Forest	1	2	2	Astral					1		1																																																																																										
468	Huge Crater	5	511	0	Astral				1	1																																																																																												
469	The Forgotten City	2	16607	3	Astral																																																												2%				10																																	
470	Battlefield	0	735	1	Death						1																																																																																											
471	Burial Mound	0	223	1	Death						1																																																																																											
472	Graveyard of the Damned	0	223	1	Death						2																																																																																											
473	Cave of Ghouls	1	735	2	Death						2																																						198	3																																																				
474	Well of Pestilence	0	223	3	Death						1										Death																				D	2																					5%																																							
475	Haunted Village	1	223	0	Death						1																																																																																											
476	Gallows	1	223	1	Death						1																																																																																											
477	Broken Tower	1	223	1	Death						2																																																																																											
478	Forest of the Dead	0	2	1	Death						1																																																																																											
479	Ashen Forest	1	10	2	Death						1																																																																																											
480	Banefire Braziers	1	735	1	Death	1					1										Death	Heat																																																																																
481	Windswept Catacombs	1	223	1	Death		1				1																																																																																											
482	Crypt in the Sand	1	223	1	Death				1		1																																																																																											
483	Witches Bog	0	134	1	Death			1			1																																																																																											
484	Catacombs	1	735	1	Death					1	1																																																																																											
485	Overgrown Graveyard	1	223	1	Death						1	1																																																																																										
486	Marble Mausoleum	2	735	1	Death						1																																												20%																																															
487	Raven Oak	2	223	1	Death						1	1																																																																																										
488	Black Tower	2	223	2	Death						3								lab																																																																95	94																		
489	Death Mound Downs	2	223	2	Death						2																																																																								310																			
490	Statue of Death	2	735	3	Death						2																																																																																											
491	Chillsick Swamp	1	16514	1	Death			1			1	1																																																			5%																																							
492	Leper Fens	1	16513	1	Death			1			2																																																				10%																																							
493	Grayshade Forest	1	16386	1	Death						3																																																																								310																			
494	Litter Skull	1	17119	2	Death						4																																						197	3																																	310																			
495	The Crypt Underneath	1	17119	2	Death						3																																												20%																																															
496	Flesh Garden of Mortal Remains	1	16607	3	Death						2	1																																																																																										
497	The Bowl of the Lost	1	16607	3	Death						1																																						185	1																																																				
498	Skull Temple	2	16607	0	Death						1																																						535	1	189	1																																																		
499	Tomb of the Ancients	2	16388	3	Death						4																																																																																											
500	The Shaded Lands	2	16607	0	Death						3						10																																676	1																																																				
501	The City of a Thousand Wonders	2	16607	1	Death	1					2									4	Death																																																																																	
502	The Mausoleum of the Great Sarlah	2	16607	2	Death						3																																						433	2																																																				
503	The Shadow Furnace	2	17119	4	Death	1					4																																																																																											
504	Halls of the Dead	2	735	1	Death						1																																																20%																																											
505	Banefire Forge	2	735	1	Death	1					1																																															20%																																												
506	Crown of Darkness	2	16388	4	Death						3																																																	40%			10%																																							
507	The Obsidian Sphere	2	16396	3	Death																																																															1																																		
508	The Draining Stone	2	16392	3	Death				1		3										Drain	Death																																																																																
509	Well of Darkness	2	735	2	Death						3																																																																																											
510	Enchanted Tomb	0	735	1	Death						1																																																																																											
511	Bonedoor Tower	1	223	1	Death						1																																																																																											
512	Flaming Tomb	1	735	2	Death	1					1																																																																																											
513	Shademist Swamp	1	128	2	Death		1				1																																																																																											
514	Plaguewater Stream	1	735	2	Death			1			1																																																				3%																																							
515	Valley of the Dead	1	8	2	Death				1		1																																						625	1																																																				
516	Silver Sarcophagus	1	735	2	Death					1	1																																																																																											
517	Carrion Thicket	1	2	2	Death						1	1																																					715	1																																																				
518	The City of the Damned	2	16607	2	Death																																																											1%					7																																	
519	Glen of Verdant Greenery	0	223	1	Nature							1																																																																																										
520	Forest of Delights	0	2	1	Nature							2																																																																																										
521	Farm of Plenty	0	223	1	Nature											50																																																																																						
522	Garden of Weeping Roses	1	223	2	Nature							2																																																																																										
523	Grove of Evergreens	0	223	3	Nature							1																																																																																										
524	Wild Forest	0	2	0	Nature							1																																																																																										
525	Bile Marsh	0	128	1	Nature																																																																									1840																								
526	Hidden Forest	0	2	1	Nature							1																																																																							154																			
527	Stone Circle	1	223	1	Nature							1																																																																							105																			
528	Woodhenge	1	223	1	Nature							1																																																																							105																			
529	Animist's Hut	1	2	1	Nature							1																																																																							552																			
530	Fields of the Fire Flies	1	223	1	Nature	1						1																																																																																										
531	Whispering Woods	0	2	1	Nature		1					1																																																																							364																			
532	Hidden Valley	1	223	1	Nature				1			1																																																																																										
533	Forest of a Thousand Streams	1	223	1	Nature			1				1																																																																							364																			
534	Endless Forest	0	2	1	Nature					1		1																																																																																										
535	Dying Forest	0	2	1	Nature						1	1									Death																																																																																	
536	Cottage in the Woods	1	2	2	Nature							1																																																																							1182																			
537	Wormwood Marsh	1	130	0	Nature							1																																																																																										
538	Hall of Ancient Oaks	2	223	1	Nature							1																																															20%																																											
539	Flower Swamp	1	128	1	Nature							1																																																																							363																			
540	Mandrake Gallows	2	223	2	Nature						1	2																																																																																										
541	Jungle Temple	2	2	2	Nature				1			2																																					394	1																																																				
542	Maze of Thorn Hedges	2	223	3	Nature					2		1																																																																																										
543	Horses Vale	1	49375	0	Nature																																																																									450					451						450													
544	The Cedar Pillars	1	16607	0	Nature		1					2																																															30%																																											
545	The Mammoth Forest	1	16386	0	Nature							3																																																																																										
546	The Flowering Forest	1	16386	1	Nature							1				100																																																																			363																			
547	The Cedar Forest	1	49154	1	Nature							2			40																																																																																							
548	Moonvine Circle	1	16607	1	Nature					1		1																																																																							338																			
549	The Crown Woods	1	16386	1	Nature							1			40																																																																																							
550	Gateward Valley	1	16607	1	Nature																																																														10%											365																								
551	The Motheroak	1	16607	1	Nature							2																													N	2																																									154																			
552	Forest of Avendron	1	16386	2	Nature				2			3																																																																							154																			
553	Animist's Tower	1	16386	2	Nature							2																																																																							552																			
554	Vale of the Silver Cattle	1	16607	2	Nature									40		200					Growth																																																																																	
555	Forest of the Ape King	1	16386	3	Nature							1		50																																																																																								
556	The Sacred Glen	1	16607	3	Nature							1																																																						20%																																				
557	The Shrouded Lands	1	16607	3	Nature		2			2		2				100					Growth																																																																																	
558	The Gate of Deeper Slumber	2	16607	1	Nature							2									Sloth																																																																																	
559	The Land of Pleasures Unattained	2	16607	3	Nature		1		1			1									Turmoil																																																																																	
560	Soul of the Wild	2	16607	4	Nature							5																																																20%																																										
561	Wolven Gate	2	223	1	Nature							1																																											20%																																															
562	Twisting Woods	2	2	1	Nature							1																																												20%																																														
563	Ancient Forest	2	2	1	Nature							2																																																																																										
564	The Vale of Unicorns	2	16386	4	Nature							3																																																																																										
565	Forest of Splendor	2	16386	2	Nature		1					1					-5																																																																																					
566	The Snake Collector	2	16512	3	Nature						1	1																																																																																										
567	Shrine of the Wild	2	223	2	Nature							3																																																																																										
568	Oak of Ages	2	16607	3	Nature							3																																															40%																																											
569	The Valley of Shame	2	16607	1	Nature							1									Turmoil	Sloth																																																																																
570	The Previous Forest	2	16392	4	Nature							4																																																																																										
571	Thorn Wood Heights	1	16386	1	Nature							2																																																																							1182																			
572	Poison Glades	1	16386	1	Nature						2	1																																																																							1182	310																		
573	Lyfjaberg	5	16388	0	Nature				1			1																																																		50%																																								
574	Enchanted Field	0	223	1	Nature							1				50																																																																																						
575	Oakwood Tower	1	223	1	Nature							1																																																																																										
576	Grove of Revelry	2	2	2	Nature							1																																																																							1880																			
577	Tinderwood Forest	1	2	2	Nature	1						1																																																																																										
578	Mist Forest	1	2	2	Nature		1					1																																																																																										
579	Flowering Bog	1	128	2	Nature			1				1																																																																																										
580	Evergreen Mountain	1	4	2	Nature				1			1																																																																																										
581	Oak of Memories	1	2	2	Nature					1		1																																																																																										
582	Maggot Woods	1	2	2	Nature						1	1																																																																																										
583	Telesterion	2	2	2	Nature				1			1																																																																							1875	1876																		
584	Arena	0	223	0	Blood									25																																																																																								
585	Brigand Lair	0	223	1	Blood												5																																																													482																								
586	Academy of War	1	223	0	Blood													4																																																																																				
587	Damned Merchant	1	223	1	Blood								1																																																																																									
588	Fields of Blood	1	1	1	Blood						1																																																																																											
589	Blood Henge	2	223	1	Blood							1																																																																							122																			
590	Ebony Tower	2	223	2	Blood					1	3								lab																																																																339																			
591	Summoning Circle	2	735	3	Blood																																																								30%																																									
592	Gore Swamps	1	16512	1	Blood						1	1																																																																																										
593	Mount Chaining	1	16607	1	Blood																																																								30%																																									
594	The Vale of Infinite Horror	1	16607	1	Blood												5				Misfortune																																												1%																																					
595	The Blood Keep	1	16388	1	Blood								1							4																																																										1353					1389																			
596	Devil's Den	1	16607	2	Blood												15																																304	1																																																				
597	The Ebony Circle	2	16607	2	Blood					1	3								lab																						B	2																																									339																			
598	The Demon Gate	1	16607	3	Blood												10																																88	1																																																				
599	The Prison of Hearts	1	16607	3	Blood									40			5																																																																																					
600	The Mountain of Power	2	16392	2	Blood								3																												*	2							403	1							30%																																													
601	Hall of Flayed Skins	2	16607	4	Blood					2	2																																																						5%																																					
602	Assassins Guild	2	223	1	Blood																																																																														428																			
603	Haunted Torture Chamber	2	735	2	Blood						1																																																					5%																																						
604	The Blood Rock	2	16388	3	Blood																																																								30%																																									
605	Forest of Pain	2	16386	2	Blood							1					5																																																1%																																					
606	Red Forest	2	16386	1	Blood	1						1																																																																																										
607	Bloodleaf Forest	1	2	1	Blood							1																																																																																										
608	Bloodstone Mountain	1	4	1	Blood				1																																																																																													
609	Bloodwind Waste	1	8	1	Blood		1																																																																																															
610	Bloodsucker Fens	1	128	1	Blood			1																																																																																														
611	Bloodmarble Mausoleum	1	735	1	Blood						1																																																																																											
612	Bloodsplatter Pattern	1	735	1	Blood					1																																																																																												
613	Torture Tower	1	16	1	Blood															14																																													3%																																					
614	Bloodshade Glen	2	16514	2	Blood							1																																											15%						20%																																									
615	The Slaughterhouse	2	16607	2	Blood																																												460	1	198	1	435	1																																																
616	The Lodge	2	16607	2	Blood								1																																																																						428	94	95																	
617	Pool of Unhealthy Rites	2	735	2	Blood			1			1																																													20%							3%																																							
618	Bloodstone Mirror	2	223	2	Blood																																																							20%								1																																		
619	Tower of the Devil's Bride	1	16607	1	Blood												5																																303	1																																																				
620	Ancient Temple	0	735	1	Holy					1																																																																																												
621	Pool of Sanctity	1	735	2	Holy			1																																																										5%																																				
622	Hidden Monastery	1	223	3	Holy												-5																																																																		240																			
623	Monastery of Light	2	223	0	Holy												-5																																																																		240	241																		
624	Convent	1	223	1	Holy												-5																																																																		2248	2249																		
625	Abbey	2	223	1	Holy												-5																																																																		2248	2249	2250																	
626	Temple of Time	2	223	4	Holy					2																																																																									240	241																		
627	The Marble Temple	1	16607	2	Holy									50			-5																																																																		241																			
628	The Empty Grave	1	17119	3	Holy						1						-5																																																																																					
629	The Forgotten Crypt	1	17119	3	Holy		1	1	1								-5																																																																																					
630	The Ward	2	16607	4	Holy												-10																																																	30%																																				
631	The Records of Mankind	2	16607	3	Holy																																																																														479					999														
632	Cave of Dark Rites	1	735	2	Death						2																																																																																											
633	Temple of Darkness	1	735	2	Death						1																																						675	1	676	1																																																		
634	Grove Unpleasant	2	223	2	Nature						1	1																																					716	1	715	1	313	1																																																
635	Inkpot End	1	16607	0	Death												5																																														5%																																							
636	Flesh Eater's Isle	1	16607	2	Death																																												198	5																																																				
637	Tower of Seven Tombs	1	16607	3	Death						2																																						625	1																																																				
638	Seventh House on the Left	2	16607	3	Astral						1																																																		20%																																									
639	Gorge of Glowing Fish	0	32	1	Fire	1																																																																																																
640	Underwater Cave	1	32	1	Air		1																																																																																															
641	Imprisoned Zephyr	2	32	3	Air		2																																																																																															
642	Pocket of Air	2	32	1	Air		2																																																																																															
643	Diamond Corals	2	32	2	Air		2																																																																																															
644	Coral Reef	0	32	0	Water			1							25																																																																																							
645	Clam Field	0	32	1	Water					1				30																																																																																								
646	Coral Statue	1	32	1	Water			1																																																																																														
647	Sunken Island	2	32	2	Water			2	2																																																																																													
648	Man'o'War Breeding Ground	2	32	2	Water			2																																																																																														
649	Sunken Tower	1	32	2	Water			1																																																																																														
650	Troll Pit	2	32	2	Water																																																																									564																								
651	Shrine of the Shark Lords	2	32	0	Water																																																																									545																								
652	Tower of Pearls	2	32	3	Water			1		2																																																																				545					103																			
653	Isle of Ice	1	16416	1	Water			3																																																																																														
654	Academy Underneath	1	16416	1	Water			2												16																					W	1																																				577					103	529																		
655	The Hippocampoi Fields	2	16416	2	Water			1				1																																					1058	1																																																				
656	Sentient Current	2	32	2	Water			1																																															20%																																															
657	Underwater Cliff	0	288	1	Earth				1																																																																																													
658	Moving Sand Banks	0	32	1	Earth				1																																																																																													
659	Basalt Statue	1	288	2	Earth				2																																																																																													
660	Isle of the Sea Fathers	1	16416	2	Earth			2																																																																											529																			
661	Kelp Forest	0	32	0	Nature							1																																																																																										
662	Kelp Fortress	0	32	1	Nature							1								16																																																																																		
663	Amber Beach Island	2	32	1	Nature				1			1		50																																																																																								
664	Floating Forest	2	32	1	Nature							2																																																																																										
665	Kelp Grove	0	32	2	Nature							1																																																																																										
666	Coral Garden	1	32	1	Nature							1																																																																																										
667	Sea Oak	1	32	2	Nature		1					2																																																																																										
668	The Amber Halls	2	16416	2	Nature	1						2																																																																		573					575	576																		
669	The Forest Beneath the Waves	2	16416	2	Nature							2																																					1062	1																																																				
670	Kelp Sea	2	32	0	Nature			1				2																																					1062	1																																																				
671	Forest of Amber Kelp	2	16416	2	Nature	1		1				1																																																																							575																			
672	Sunken Galley	0	32	1	Death						1																																																																																											
673	Reef of Sunken Ships	1	32	1	Death						2																																																																																											
674	Dying Ground of the Whales	1	16416	2	Death			2			1	1																																																																																										
675	Isle of Death	1	16416	1	Death						3																																																																																											
676	Pearl Stairway	2	32	1	Astral					1																																																																																												
677	Arcane Gateway	2	288	3	Astral					1																																													20%																																															
678	The Water Solstice	2	16416	2	Astral			4		2																																																	40%																																											
679	Ancient Temple of the Deeps	0	288	1	Holy			1		1																																																																																												
680	Fire Rift	1	256	1	Fire	2																																																																																																
681	Magma River	2	768	1	Fire	3																																																																																																
682	Thermal Vent	0	256	1	Fire	1																																																																																																
683	Kraken Pit	2	256	2	Water																																												438	1																																																				
684	Cold Currents	0	256	0	Water			1																																																																																														
685	Depths Unnamed	0	256	1	Water			2																																																																																														
686	Whispering Waters	1	256	1	Water			1																																																																																														
687	Glowing Depths	1	256	1	Water	1		1																																																																																														
688	Falling Depths	1	256	1	Water			2																																																																																														
689	Dark Waters	1	256	1	Water			1			1																																																																																											
690	The Darkness	2	16640	2	Water			1	1																																																			20%																																										
691	The Gate in the Deep	2	16640	2	Water			2																																															20%																																															
692	Basalt Halls	2	256	2	Earth				3																																																																																													
693	City of Stones	1	16640	2	Earth				4																																																																																													
694	Caves in the Deep	0	256	0	Earth				1																																																																																													
695	Mineral Fingers	1	256	1	Earth				2																																																																																													
696	Plateau of Shards	1	256	1	Earth				2																																																																																													
697	Long Lost Circle	2	256	2	Earth				1	1																																																																																												
698	The Basalt Forge	2	16640	2	Earth				1																																																	20%																																												
699	Dark Depths	1	256	1	Death			1			1																																																																																											
700	Ghoul Fish Cave	1	256	1	Death			1			1																																																																																											
701	The Wasted Sea	1	16640	0	Death						2																																						318	4																																																				
702	The Sea of Dead Memories	1	16640	1	Death			1		1	1																																						676	1																																																				
703	Basalt Pillars	1	256	1	Astral					1																																																																																												
704	Labyrinth of the Deeps	2	256	2	Astral					3																																																																																												
705	Gorge of Mystery	2	256	2	Astral					1																																														20%																																														
706	The Crater	1	16640	3	Astral					2																																																																				331					445																			
707	The Last Void	2	16640	3	Astral					2											Magic																																							30%																																										
708	The Iron Caverns	1	17152	2	Astral			1	1	1																																																																																												
709	Shambler Reef	0	64	0	Water																																																																									206																								
710	Navigators Guild	2	64	0	Water			2																																																																											869																			
711	The Primal Forest	5	16386	0	Nature							3																																					932	1																																																				
712	The Holy Crypt of Anre	5	16607	0	Holy	1	1					1					-10																																																																																					
713	The World Pillar	5	16388	0	Earth		1		4																																																																																													
714	The Desert of Ptah	5	16392	0	Fire	2			2		2																																																																																											
715	Throne of the World	5	0	0	Astral	5		5		5				250	200																																																																																							
716	Rain Forest	5	2	0	Nature																Heat	Growth																																																																																
717	Tundra	5	8	0	Water																Cold																																																																																	
718	Desert	5	8	0	Fire																Heat	Death																																																																																
719	Mirage	0	8	1	Air		1																																																																																															
720	Oasis	0	8	1	Water			1								50																																																																																						
721	Great Oasis	2	8	1	Water			1				1				75																																																																																						
722	Date Oasis	1	8	1	Nature							1		25		50																																																																																						
723	City of Dates	2	16392	0	Nature			1				1		50		150				1																																																																																		
724	Oasis of Verdant Greenery	2	16392	3	Nature			1				2				100																																																																																						
725	Chitterpalm Oasis	0	8	1	Water			1								50																																																														1116																								
726	Cavern of Flames	1	512	0	Fire	1																																																																																																
727	Underground Lake	1	512	0	Water			1																																																																																														
728	Air Shaft	1	512	0	Air		1																																																																																															
729	Basalt Wall	1	512	0	Earth				1																																																																																													
730	Painted Cavern	1	512	0	Astral					1																																																																																												
731	Bone Filled Cave	1	512	0	Death						1																																																																																											
732	Mushroom Forest	1	512	0	Nature							1																																																																																										
733	Trapped Lights	0	512	1	Fire	1																																																																																																
734	Dripping Stones	0	512	1	Water			1																																																																																														
735	Trapped Wind	0	512	1	Air		1																																																																																															
736	Mineral Deposit	0	512	1	Earth				1																																																																																													
737	Spiral Shaft	0	512	1	Astral					1																																																																																												
738	Cavern Tomb	0	512	1	Death						1																																																																																											
739	Moss Covered Cavern	0	512	1	Nature							1																																																																																										
740	Cavern of Rubies	2	512	1	Fire	1			1					100																																																																																								
741	Cavern of Magma	1	512	1	Fire	1			1												Heat																																																																																	
742	Magma Halls	2	512	2	Fire	2			1																																																																																													
743	Dripping Caverns	1	512	1	Water			1																																																																																														
744	Mud Caverns	1	512	1	Water			1	1																																																																																													
745	Ice Caverns	2	512	0	Water			1													Cold																																																																																	
746	Stalagmite Cavern	1	512	1	Water			1	1																																																																																													
747	Mist Caverns	1	512	1	Water		1	1																																																																																														
748	Gold Deposit	0	512	0	Earth									60																																																																																								
749	Silver Deposit	0	512	0	Earth									40																																																																																								
750	Copper Deposit	0	512	0	Earth									20	20																																																																																							
751	Iron Deposit	0	512	0	Earth										40																																																																																							
752	Hidden Gold Deposit	0	512	1	Earth									100																																																																																								
753	Hidden Gem Deposits	0	512	1	Earth									75																																																																																								
754	Mammoth Cave	2	512	0	Earth				2																																																																																													
755	Earth Blood Vein	1	512	2	Earth				2																																																																																													
756	Crystal Cavern	0	512	1	Earth				1	1				25																																																																																								
757	Glittering Cavern	1	512	2	Earth				1					75																																																																																								
758	Buried Temple	2	512	2	Earth					1																																																																																												
759	Gemwall Cavern	2	512	3	Earth			2						100																																																																																								
760	Troglodyte Cave	2	512	3	Earth				1																																																																					447																								
761	The Storm Underneath	2	16896	3	Air		3																																																																																															
762	Ancient Tomb	1	512	1	Death						1																																																																																											
763	Opulent Tomb	2	512	2	Death						2																																																																																											
764	Umbral Cave	2	512	3	Death						1																																																																																											
765	Caveman Cavern	1	512	1	Nature											25																																																														1615																								
766	Cavern of Ancient Mushrooms	0	512	0	Nature				1			1																																																																																										
767	Nest of Bats	2	512	1	Blood						1																																						1357	1																																																				
768	The Lesser Abyss	2	16896	1	Blood												10																																88	1																																																				
769	Splattermaid Gorge	2	16896	2	Blood		1																																										1357	1																																																				
770	Tomb of Seven Oracles	2	16896	3	Death				1		2																																						1501	1																																																				
771	Infinite Cavern	2	16896	3	Earth				2																																														20%																																															
772	Riddle Dark	2	16896	3	Earth				2		2																																																																																											
773	The Umbral Conclave	2	16896	3	Death						3																																												20%																																															
774	The Silent Sea	2	16896	2	Water			3																																																																																														
775	The Olm Cavern	2	16896	2	Water			1			1																																																																																			1								
776	Halls of Stalagmitic Splendor	2	512	2	Water			2	1																																																																																													
777	Halls of Imprisoned Sunlight	2	16896	3	Fire	3				1																																																																																												
778	Undermirks	2	16896	2	Nature						1	2																																																																																										
779	The Throne of War	11	17407	0	Holy																		1													1		1																																																																
780	The Throne of Night	11	17407	0	Holy																		1																50																																																															
781	The Throne of Beasts	11	17407	0	Holy							2											1																	1																																																														
782	The Throne of Thorns	11	17407	0	Holy							2											1										10																																																																					
783	The Throne of Flames	11	17407	0	Holy	1																	1							5																																																														2										
784	The Throne of Ice	11	17407	0	Holy			1															1								5																																																															2								
785	The Throne of Storms	11	16607	0	Holy		1																1									5																																																													2									
786	The Throne of Might	11	17407	0	Holy																		1											2																																																																				
787	The Throne of Stability	11	17407	0	Holy																		1																																																																															
788	The Throne of the Deeps	11	16640	0	Holy																		1																50										438	1																																																				
789	The Throne of Bones	11	17407	0	Holy																		1														3																																																																	
790	The Throne of Knowledge	12	16607	0	Holy																		2																																																												479	478																		
791	The Crystal Throne	12	16607	0	Holy				1	1													2																																																												340																			
792	The High Throne	11	17407	0	Holy																		3																																																																															
793	The Throne of Law	11	17407	0	Holy																Order		1	-1																																																																														
794	The Throne of Zeal	11	17407	0	Holy																		2													1																																																																		
795	The Brass Throne	11	17407	0	Holy	1			1					50									1																																																																															
796	The Iron Throne	12	16607	0	Holy										100								2																																																												477																			
797	The Silver Throne	12	16607	0	Holy									100									2																																																												100																			
798	The Throne of Pestilence	11	17407	0	Holy						3										Death		1				1																																																																											
799	The Lower Throne	11	17407	0	Holy								5										1																																																																															
800	The Throne of Spring	11	17407	0	Holy		1														Growth		1				-1																																																								2543																			
801	The Throne of Summer	11	17407	0	Holy	1															Heat		1			-1																																																									2544																			
802	The Throne of Autumn	11	17407	0	Holy				1												Death		1				1																																																								2545																			
803	The Throne of Winter	11	17407	0	Holy			1													Cold		1			1																																																									2546																			
804	The Throne of Gaia	12	17407	0	Holy							2											2				-2																																																																											
805	The Golden Throne	12	16607	0	Holy									200									2																																																												101																			
806	The Throne of Bureaucracy	12	17407	0	Holy									-100									5	-1																																																																														
807	The Throne of Life	12	17407	0	Holy							3									Growth		2				-1																																																																											
808	The Throne of Death	12	17407	0	Holy						5										Death		2				1																																																																											
809	The Throne of Fortune	12	17407	0	Holy					2											Luck		2					-1																																																																										
810	The Throne of Misfortune	12	17407	0	Holy					4											Misfortune		2					1																																																																										
811	The Inner Throne	12	16607	0	Holy				1				3										2	-1																																																																														
812	The Outer Throne	12	17407	0	Holy					3													2						-1																																																																									
813	The Throne of Fire	12	16607	0	Holy	1																	2															3			F	1																																									99									2										
814	The Throne of Earth	12	16607	0	Holy				1														2																		E	1																																									345												2						1	
815	The Throne of Water	12	17407	0	Holy			1															2																		W	1																																									103								3			2								
816	The Throne of Air	12	16607	0	Holy		1																2																		A	1																																									93										2									
817	The Throne of Splendour	13	17407	0	Holy																		3																																																																													1		
818	The Throne of the Pantokrator	13	17407	0	Holy																		7																																																																															
819	The Throne of Abundance	13	17407	0	Holy	1	1	1	1	2	1	1		150									3		2																																																																													
820	The Throne of Eternal Suffering	13	17407	0	Holy																		3	-1	-1			1																																																																										
821	Glowing Sands	0	256	1	Fire	1																																																																																																
822	Sparkling Current	0	32	1	Fire	1																																																																																																
823	Crust of Molten Sulphur	0	256	1	Fire	1																																																																																																
824	Underwater Volcano	0	256	1	Fire	1																																																																																																
825	Smoldering Starfish Colony	0	32	1	Fire	1																																																																																																
826	Pond of Lava	1	256	1	Fire	1																																																																																																
827	Steaming Stone	1	256	1	Fire	1	1																																																																																															
828	Boiling Current	1	32	1	Fire	1	1														Heat																																																																																	
829	Floating Rock	0	32	1	Air		1																																																																																															
830	Bubbling Fissure	0	32	1	Air		1																																																																																															
831	Foaming Waves	1	64	1	Air		1																																																																																															
832	Island of Floating Stone	1	32	1	Air		1		1																																																																																													
833	Scoriatic Cliffs	2	256	1	Air		1																																																																																															
834	Cavern of Underwater Ice	0	256	1	Water			1																																																																																														
835	Charmed Current	0	32	1	Water			1																																																																																														
836	Sweet Water Current	0	32	1	Water			1																																																																																														
837	Frozen Deeps	0	256	1	Water			1													Cold																																																																																	
838	Tears of the Ancients	1	256	2	Water			1		1																																																																																												
839	Ridge of Ice	0	288	1	Water			1																																																																																														
840	Fathoms Deep	0	16640	1	Water			1													Magic																																																																																	
841	Maelstrom	1	32	1	Water			2																																																																																														
842	Rock Crab Colony	0	32	1	Earth				1																																																																																													
843	Underwater Stalagmite	0	256	1	Earth				1																																																																																													
844	Ridge of Volcanic Glass	0	256	1	Earth				1					30																																																																																								
845	Meteorite Rock	0	256	1	Earth				1																																																																																													
846	Basalt Plateau	0	256	1	Earth				1																																																																																													
847	Mountain Underneath	1	256	1	Earth				1						30																																																																																							
848	Fossilized Conch	1	32	1	Earth				1																																																																																													
849	Forgotten Crevasse	1	256	2	Earth				1																																																																																													
850	Submerged Labyrinth	0	32	1	Astral					1																																																																																												
851	Displaced Tunnel	0	256	1	Astral					1																																																																																												
852	Arcane Vent	0	256	1	Astral					1																																																																																												
853	Shimmering Conchs	0	32	1	Astral					1																																																																																												
854	Pearl Farm	0	32	1	Astral					1																																																																																												
855	Eye Pebble Plain	1	32	1	Astral					1																																																																																												
856	Abyss to the Beyond	1	256	2	Astral					2																																																																																												
857	Blasphemous Presense	1	256	1	Astral					1																																																																																												
858	Enchanted Current	1	16416	1	Astral					2											Magic																																																																																	
859	Black Sands	0	32	1	Death						1																																																																																											
860	Basalt Ruins	0	256	1	Death						1																																																																																											
861	Submerged Catacombs	0	32	1	Death						1																																																																																											
862	Stale Current	0	32	1	Death						1										Death																																																																																	
863	Black Coral Reef	0	32	1	Death						1																																																																																											
